# Mean, Standard deviation, Median, Min, Max
2.854073364918048483e+01,2.271940083197351523e+00,2.782229542732238770e+01,2.539852452278137207e+01,3.406571245193481445e+01
3.939378183381759158e+01,2.977721664806193402e+01,2.741184484958648682e+01,2.510517907142639160e+01,3.726413798332214355e+02
8.096367989592999947e+01,7.910220018158229323e+02,3.096488165855407715e+01,2.467658376693725586e+01,2.016589887499809265e+04
1.714812510757201096e+02,5.992317713487184392e+02,4.906702375411987305e+01,2.529708814620971680e+01,7.363756094455718994e+03
